variant,task_id,model_family,method,n_seeds,on_front,frontier_resampling_frequency,capability,capability_ci_low,capability_ci_high,capability_seed_sd,unwanted_generalization,unwanted_generalization_ci_low,unwanted_generalization_ci_high,unwanted_generalization_seed_sd
current_filtered,good_vs_bad_mixed_multifact,olmo3_7b,ip,5,True,0.5094,0.005864801987740703,0.002507002801120448,0.010041929637963971,0.004775260948228821,0.13664036069159283,0.12543258467365836,0.1478481367095273,0.014632811467471106
current_filtered,target_only_no_hallucination,llama31_8b,baseline,5,False,0.0,0.5526904954408558,0.5329738001573204,0.5724071907243911,0.027077948621018887,0.3846790098114083,0.34829350635649103,0.42093751191507617,0.04802141769093253
current_filtered,target_only_no_hallucination,llama31_8b,freeze_first,5,False,0.0,0.1525544108856932,0.12488309131183854,0.18022573045954782,0.03488542049943203,0.4994488082046848,0.477720328985206,0.5221641298432828,0.029069354958113393
current_filtered,target_only_no_hallucination,llama31_8b,freeze_second,5,False,0.0,0.5227662631633343,0.5021097967179303,0.5498726902371598,0.03095633103886819,0.42435586096508204,0.40040477999688867,0.4416341144943228,0.027931981373462752
current_filtered,target_only_no_hallucination,llama31_8b,freeze_last,5,True,1.0,0.8576095711916608,0.8421069256890152,0.8731122166943063,0.020129331949177817,0.2315756807734835,0.22062865015633104,0.24351851851851852,0.015309440652957997
current_filtered,target_only_no_hallucination,llama31_8b,kld,5,True,1.0,0.3612047451914742,0.3535612460863025,0.370259598176379,0.011196178813104765,0.09556155123009642,0.08729995962260517,0.10410902010973695,0.011086567283732177
current_filtered,target_only_no_hallucination,llama31_8b,ip,5,False,0.0,0.2599037063414345,0.1892299474761862,0.2975,0.07878910061189943,0.2473686344229101,0.21206242980519732,0.279729008054728,0.043884856053850924
current_filtered,target_only_no_hallucination,qwen3_8b,baseline,5,False,0.0,0.020781705040244586,0.013813467067639801,0.0271200475358608,0.008577529583898886,0.330905079238501,0.3180896709243221,0.34372918639821576,0.01679759487176253
current_filtered,target_only_no_hallucination,qwen3_8b,freeze_first,5,True,1.0,0.0,0.0,0.0,0.0,0.16268905700373146,0.14404021175914156,0.17820044534043253,0.021547079042957277
current_filtered,target_only_no_hallucination,qwen3_8b,freeze_second,5,False,0.0,0.01555357156876223,0.011028684690934177,0.01956132851769565,0.005316675923999025,0.3903256368636806,0.3764957264957265,0.40270694824556247,0.01642372284675267
current_filtered,target_only_no_hallucination,qwen3_8b,freeze_last,5,True,1.0,0.602347495134474,0.5781353965534434,0.620473789964081,0.026836330598554125,0.2850923437326609,0.2738459653714035,0.2980331161332893,0.015292286858275838
current_filtered,target_only_no_hallucination,qwen3_8b,kld,5,True,0.6748,0.0008333333333333333,0.0,0.0025,0.0018633899812498247,0.23173347027534924,0.22351366742596812,0.23995327312473033,0.010344643016403325
current_filtered,target_only_no_hallucination,qwen3_8b,ip,5,False,0.2191,0.0041666666666666675,0.0,0.009166666666666667,0.005892556509887897,0.28892937444830336,0.2818752120321158,0.29645056821656,0.009254464396590641
current_filtered,target_only_no_hallucination,olmo3_7b,baseline,5,True,0.7785,0.03482090974021864,0.024310182571052136,0.04439025312387758,0.012713022292274128,0.21195934856210616,0.19991604896814302,0.22451145982296922,0.015983102340913505
current_filtered,target_only_no_hallucination,olmo3_7b,freeze_first,5,True,1.0,0.004344427315132228,0.0008620689655172414,0.008677163544420182,0.005302122274607428,0.11712845754332427,0.10896745074812697,0.1258052701391776,0.0106073172420636
current_filtered,target_only_no_hallucination,olmo3_7b,freeze_second,5,False,0.0,0.04459939951093074,0.03696858490231535,0.05327219066128919,0.010293399361631041,0.4136595788811134,0.4017454503548546,0.4301225772068104,0.01841187446004917
current_filtered,target_only_no_hallucination,olmo3_7b,freeze_last,5,True,1.0,0.7005383929942252,0.6591329548423878,0.7384097001964812,0.050881358578720504,0.3659422194564672,0.3568123641632456,0.3749537458436275,0.011748612371320967
current_filtered,target_only_no_hallucination,olmo3_7b,kld,5,True,0.7087,0.011955472640952921,0.009276060108010086,0.014634885173895756,0.0035468167023035044,0.20538135558223275,0.1971196935305968,0.21419049522045874,0.011072508947650378
current_filtered,target_only_no_hallucination,olmo3_7b,ip,5,True,0.697,0.035254381177612024,0.026404705596992296,0.04596931659693166,0.011827037813236393,0.21668996169584437,0.1998475059479859,0.23056372549019608,0.020133176138498684
current_filtered,german_city_names,llama31_8b,baseline,5,False,0.2308,0.9100650254933569,0.8828546099290779,0.9346982841719683,0.03346102392628103,0.13470515720194792,0.09236353077816492,0.18333333333333332,0.05838518187643484
current_filtered,german_city_names,llama31_8b,freeze_first,5,False,0.005,0.8620460167762186,0.8349703432957799,0.893156887224303,0.036631075007862675,0.30406514338021184,0.23906823769837468,0.3690620490620491,0.08531481209729787
current_filtered,german_city_names,llama31_8b,freeze_second,5,False,0.0,0.876039823702867,0.8381691919191919,0.9139104554865425,0.04825237939489166,0.1496075752420381,0.11375409017802673,0.1736653091447612,0.040694062992721054
current_filtered,german_city_names,llama31_8b,freeze_last,5,True,1.0,0.9291203293746895,0.9051765932728986,0.9524915751061837,0.02917248633952544,0.002105263157894737,0.0,0.00631578947368421,0.0047075115315785045
current_filtered,german_city_names,llama31_8b,kld,5,True,0.6719,0.8475788815995001,0.8187129022180569,0.875226491721337,0.037399731399755026,0.0,0.0,0.0,0.0
