variant,method,relative_sft_capability_floor,absolute_capability_floor,ug_improvement_required,n_cells,feasible_cells,feasible_and_improved_cells,mean_ug_reduction_on_feasible_cells
current_filtered,freeze_first,0.9,0.1,0.01,21,12,2,-0.0657018000391032
current_filtered,freeze_second,0.9,0.1,0.01,21,15,7,0.011004360047467621
current_filtered,freeze_last,0.9,0.1,0.01,21,16,10,0.08495196592465423
current_filtered,kld,0.9,0.1,0.01,21,10,10,0.2268929236448381
current_filtered,ip,0.9,0.1,0.01,21,6,4,-0.007833713918357419
current_filtered,freeze_first,0.95,0.0,0.01,21,11,2,-0.05280469787013675
current_filtered,freeze_second,0.95,0.0,0.01,21,15,7,0.000759378469745788
current_filtered,freeze_last,0.95,0.0,0.01,21,13,8,0.05898516131523717
current_filtered,kld,0.95,0.0,0.01,21,11,10,0.19594690090555159
current_filtered,ip,0.95,0.0,0.01,21,6,4,0.028347947467116153
current_filtered,freeze_first,0.95,0.1,0.01,21,10,2,-0.05744887452233721
current_filtered,freeze_second,0.95,0.1,0.01,21,13,7,0.01643842335241369
current_filtered,freeze_last,0.95,0.1,0.01,21,13,8,0.05898516131523717
current_filtered,kld,0.95,0.1,0.01,21,9,9,0.23713600880515923
current_filtered,ip,0.95,0.1,0.01,21,3,3,0.05244734131234319
current_filtered,freeze_first,1.0,0.0,0.01,21,9,2,-0.019276371510753777
current_filtered,freeze_second,1.0,0.0,0.01,21,9,3,-0.018857522515119508
current_filtered,freeze_last,1.0,0.0,0.01,21,11,6,0.018117153312111976
current_filtered,kld,1.0,0.0,0.01,21,5,5,0.08248313984394402
current_filtered,ip,1.0,0.0,0.01,21,6,4,0.028347947467116153
current_filtered,freeze_first,1.0,0.1,0.01,21,8,2,-0.020890551531081478
current_filtered,freeze_second,1.0,0.1,0.01,21,7,3,0.004655874842730794
current_filtered,freeze_last,1.0,0.1,0.01,21,11,6,0.018117153312111976
current_filtered,kld,1.0,0.1,0.01,21,4,4,0.09594181564676849
current_filtered,ip,1.0,0.1,0.01,21,3,3,0.05244734131234319
paper_raw,freeze_first,0.5,0.0,0.01,21,17,4,-0.057792961479744706
paper_raw,freeze_second,0.5,0.0,0.01,21,20,8,-0.00849612043049544
paper_raw,freeze_last,0.5,0.0,0.01,21,21,16,0.08252992080670649
paper_raw,kld,0.5,0.0,0.01,21,19,17,0.21922396178035278
paper_raw,ip,0.5,0.0,0.01,21,13,10,0.025911123598623572
paper_raw,freeze_first,0.5,0.1,0.01,21,15,4,-0.06447091189926621
paper_raw,freeze_second,0.5,0.1,0.01,21,17,8,0.004716574003338705
paper_raw,freeze_last,0.5,0.1,0.01,21,21,16,0.08252992080670649
paper_raw,kld,0.5,0.1,0.01,21,16,15,0.2534520078549096
paper_raw,ip,0.5,0.1,0.01,21,10,7,0.02846571067821066
paper_raw,freeze_first,0.75,0.0,0.01,21,13,2,-0.06800489834530717
paper_raw,freeze_second,0.75,0.0,0.01,21,17,7,-0.013775119896443436
paper_raw,freeze_last,0.75,0.0,0.01,21,20,15,0.08297494008967221
paper_raw,kld,0.75,0.0,0.01,21,17,15,0.22195946055189752
paper_raw,ip,0.75,0.0,0.01,21,10,7,0.011338164381914356
paper_raw,freeze_first,0.75,0.1,0.01,21,12,2,-0.07283863987408276
paper_raw,freeze_second,0.75,0.1,0.01,21,15,7,-0.002810105018438356
paper_raw,freeze_last,0.75,0.1,0.01,21,20,15,0.08297494008967221
paper_raw,kld,0.75,0.1,0.01,21,15,14,0.2490833762798048
paper_raw,ip,0.75,0.1,0.01,21,8,5,0.009026582792207777
paper_raw,freeze_first,0.9,0.0,0.01,21,12,2,-0.06763493617037906
paper_raw,freeze_second,0.9,0.0,0.01,21,17,7,-0.013775119896443436
paper_raw,freeze_last,0.9,0.0,0.01,21,15,10,0.07001046433725006
paper_raw,kld,0.9,0.0,0.01,21,11,11,0.24226597452571477
paper_raw,ip,0.9,0.0,0.01,21,7,5,0.038787183055040184
paper_raw,freeze_first,0.9,0.1,0.01,21,11,2,-0.07287447582223171
paper_raw,freeze_second,0.9,0.1,0.01,21,15,7,-0.002810105018438356
paper_raw,freeze_last,0.9,0.1,0.01,21,15,10,0.07001046433725006
paper_raw,kld,0.9,0.1,0.01,21,10,10,0.2636569238301381
paper_raw,ip,0.9,0.1,0.01,21,6,4,0.041455417267917245
paper_raw,freeze_first,0.95,0.0,0.01,21,10,2,-0.01516192340445487
paper_raw,freeze_second,0.95,0.0,0.01,21,12,5,0.016778263788680445
paper_raw,freeze_last,0.95,0.0,0.01,21,13,9,0.0461580710955711
paper_raw,kld,0.95,0.0,0.01,21,10,10,0.258670349756064
