variant,omitted_dataset,method,capability,unwanted_generalization,on_front
current_raw,target_only_no_hallucination,freeze_last,0.692980027881886,0.1768305658674042,True
current_raw,target_only_no_hallucination,kld,0.6436741873737358,0.07116683946235845,True
current_raw,target_only_no_hallucination,ip,0.4618299719040505,0.1589968621857466,False
current_raw,german_city_names,baseline,0.5717213444613822,0.3023749233739803,False
current_raw,german_city_names,freeze_first,0.5093903655957467,0.3393877936687822,False
current_raw,german_city_names,freeze_second,0.5493857366510234,0.31356854181119964,False
current_raw,german_city_names,freeze_last,0.6628159238352398,0.2332670780798323,True
current_raw,german_city_names,kld,0.5197743385255555,0.10141089850224973,True
current_raw,german_city_names,ip,0.38715121151100435,0.19938435533567755,False
current_raw,old_bird_names,baseline,0.5878815904491951,0.3071106307882591,False
current_raw,old_bird_names,freeze_first,0.5486490759136603,0.3185883551976645,False
current_raw,old_bird_names,freeze_second,0.5854931790271604,0.3120755850325286,False
current_raw,old_bird_names,freeze_last,0.6837980074123463,0.23335843307457976,True
current_raw,old_bird_names,kld,0.5485966509973524,0.09929635096502178,True
current_raw,old_bird_names,ip,0.3608654972252901,0.1424965887812443,False
current_filtered,bad_medical_advice,baseline,0.5852161925930501,0.23648641888005206,False
current_filtered,bad_medical_advice,freeze_first,0.5042767957779841,0.2780452674530323,False
current_filtered,bad_medical_advice,freeze_second,0.5575765408290921,0.23754857433972823,False
current_filtered,bad_medical_advice,freeze_last,0.6922231406396369,0.15704586018890562,True
current_filtered,bad_medical_advice,kld,0.5586783285446287,0.08280713188323782,True
current_filtered,bad_medical_advice,ip,0.41415423690665665,0.1604714190944636,False
current_filtered,risky_financial_advice,baseline,0.5445864499873295,0.2155434177424782,False
current_filtered,risky_financial_advice,freeze_first,0.46538169960208087,0.2525632941978857,False
current_filtered,risky_financial_advice,freeze_second,0.5168070024384727,0.22211610323650655,False
current_filtered,risky_financial_advice,freeze_last,0.6347512159880584,0.1730333429452624,True
