variant,seed,method,capability,unwanted_generalization
paper_filtered,3,ip,0.4280504818594104,0.1436966175359032
paper_filtered,3,kld,0.5598873015873016,0.06259526958931719
paper_filtered,4,baseline,0.6271606575963719,0.283821469063816
paper_filtered,4,freeze_first,0.5377826058201057,0.3312156387712317
paper_filtered,4,freeze_last,0.7058603993449232,0.18734551029406468
paper_filtered,4,freeze_second,0.6076496252204586,0.28445337765136514
paper_filtered,4,ip,0.42468012723607956,0.14064436885865456
paper_filtered,4,kld,0.5760983182161754,0.0633752920360063
paper_filtered,5,baseline,0.6186165879314689,0.2707987327927804
paper_filtered,5,freeze_first,0.5462659895439657,0.31860732182349716
paper_filtered,5,freeze_last,0.7084039367598891,0.1864615614764424
paper_filtered,5,freeze_second,0.6075421579743008,0.2823436431450887
paper_filtered,5,ip,0.41692890211640204,0.13245541338228412
paper_filtered,5,kld,0.5799929736709499,0.061392244848877474
paper_raw,1,baseline,0.5941860229276896,0.2331160691789943
paper_raw,1,freeze_first,0.5353761904761904,0.2762966746342596
paper_raw,1,freeze_last,0.6742351851851852,0.16843213475866536
paper_raw,1,freeze_second,0.563344708994709,0.25132565327718387
paper_raw,1,ip,0.3668324735449735,0.13022788215815426
paper_raw,1,kld,0.566151917989418,0.076519495243985
paper_raw,2,baseline,0.6212870275888133,0.2766857727338169
paper_raw,2,freeze_first,0.5588024943310658,0.3252354808668183
paper_raw,2,freeze_last,0.695050138573948,0.1972556734333945
paper_raw,2,freeze_second,0.5976214758125472,0.283213925781953
paper_raw,2,ip,0.41710555555555556,0.1415738041248245
paper_raw,2,kld,0.569518253968254,0.061759885050701346
paper_raw,3,baseline,0.625407067271353,0.27766514145340676
paper_raw,3,freeze_first,0.5529182161753591,0.3025861872058962
paper_raw,3,freeze_last,0.7060579270597128,0.18737325882734043
paper_raw,3,freeze_second,0.5818664399092971,0.2767923075916273
paper_raw,3,ip,0.42642936507936513,0.1515646933376525
paper_raw,3,kld,0.5591285714285714,0.06275037792894933
paper_raw,4,baseline,0.6313816137566137,0.2868076701580103
paper_raw,4,freeze_first,0.5410784202569916,0.33677131784130243
paper_raw,4,freeze_last,0.7118643361048124,0.1924261463844797
paper_raw,4,freeze_second,0.6095566137566137,0.2931042139077853
paper_raw,4,ip,0.4234706349206349,0.144145880574452
paper_raw,4,kld,0.575197619047619,0.06336348175633887
paper_raw,5,baseline,0.6200531746031746,0.2771971619335565
paper_raw,5,freeze_first,0.5467281273620559,0.31837344079313085
paper_raw,5,freeze_last,0.7148563051146384,0.19333499802037216
paper_raw,5,freeze_second,0.6087017006802721,0.28522270813087136
paper_raw,5,ip,0.41752063492063496,0.14327016520894068
paper_raw,5,kld,0.5797460317460318,0.061392244848877474
