variant,task_id,model_family,axis,method,common_prompt_n,total_prompt_n,value,weighting
current_raw,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_last,56,56,0.35277393707482996,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,unintended_generalization,kld,56,56,0.09127250566893425,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,unintended_generalization,ip,56,56,0.2323125566893424,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,capability,vanilla,20,20,0.06995,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,capability,baseline,20,20,0.7092168253968254,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,capability,freeze_first,20,20,0.7177470634920636,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,capability,freeze_second,20,20,0.7241587698412698,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,capability,freeze_last,20,20,0.6062619047619048,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,capability,kld,20,20,0.6198671428571428,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,capability,ip,20,20,0.6064419444444444,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,vanilla,56,56,0.03397222222222222,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,baseline,56,56,0.35296262755102037,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_first,56,56,0.3961707341269841,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_second,56,56,0.4078294501133787,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_last,56,56,0.33649695294784576,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,kld,56,56,0.0912640731292517,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,ip,56,56,0.23071673752834462,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,olmo3_7b,capability,vanilla,20,20,0.06995,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,olmo3_7b,capability,baseline,20,20,0.7169299999999998,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,olmo3_7b,capability,freeze_first,20,20,0.7245933333333333,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,olmo3_7b,capability,freeze_second,20,20,0.73247,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,olmo3_7b,capability,freeze_last,20,20,0.6437566666666668,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,olmo3_7b,capability,kld,20,20,0.6244166666666666,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,olmo3_7b,capability,ip,20,20,0.609,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,olmo3_7b,unintended_generalization,vanilla,56,56,0.005357142857142858,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,olmo3_7b,unintended_generalization,baseline,56,56,0.33764880952380955,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_first,56,56,0.3809892290249433,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_second,56,56,0.3999404761904762,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_last,56,56,0.3239271541950113,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,olmo3_7b,unintended_generalization,kld,56,56,0.0475,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,olmo3_7b,unintended_generalization,ip,56,56,0.13016865079365078,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,olmo3_7b,capability,vanilla,20,20,0.06995,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,olmo3_7b,capability,baseline,20,20,0.7151305555555554,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,olmo3_7b,capability,freeze_first,20,20,0.7239758333333334,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,olmo3_7b,capability,freeze_second,20,20,0.7307644444444443,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,olmo3_7b,capability,freeze_last,20,20,0.6347340476190476,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,olmo3_7b,capability,kld,20,20,0.6231833333333333,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,olmo3_7b,capability,ip,20,20,0.6088944444444444,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,vanilla,56,56,0.005357142857142858,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,baseline,56,56,0.3346924603174603,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_first,56,56,0.37774518140589564,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_second,56,56,0.39800878684807256,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_last,56,56,0.3212783446712018,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,kld,56,56,0.04732142857142858,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,ip,56,56,0.1295890022675737,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,qwen3_8b,capability,vanilla,20,20,0.24715000000000004,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,qwen3_8b,capability,baseline,20,20,0.72887,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,qwen3_8b,capability,freeze_first,20,20,0.74002,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,qwen3_8b,capability,freeze_second,20,20,0.7169399999999999,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,qwen3_8b,capability,freeze_last,20,20,0.6376799999999999,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,qwen3_8b,capability,kld,20,20,0.6522677777777777,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,qwen3_8b,capability,ip,20,20,0.28729666666666664,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,qwen3_8b,unintended_generalization,vanilla,56,56,0.07742658730158729,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,qwen3_8b,unintended_generalization,baseline,56,56,0.44207776360544215,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,qwen3_8b,unintended_generalization,freeze_first,56,56,0.45488163265306125,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,qwen3_8b,unintended_generalization,freeze_second,56,56,0.3931528202947846,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,qwen3_8b,unintended_generalization,freeze_last,56,56,0.36262230725623584,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,qwen3_8b,unintended_generalization,kld,56,56,0.09929625850340136,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,qwen3_8b,unintended_generalization,ip,56,56,0.13149880952380952,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,qwen3_8b,capability,vanilla,20,20,0.24715000000000004,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,qwen3_8b,capability,baseline,20,20,0.7187873412698412,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,qwen3_8b,capability,freeze_first,20,20,0.7332434523809523,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,qwen3_8b,capability,freeze_second,20,20,0.7112110317460317,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,qwen3_8b,capability,freeze_last,20,20,0.6080595634920636,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,qwen3_8b,capability,kld,20,20,0.6487461507936507,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,qwen3_8b,capability,ip,20,20,0.2865402777777778,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,qwen3_8b,unintended_generalization,vanilla,56,56,0.07742658730158729,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,qwen3_8b,unintended_generalization,baseline,56,56,0.43084176587301587,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,qwen3_8b,unintended_generalization,freeze_first,56,56,0.44621530612244903,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,qwen3_8b,unintended_generalization,freeze_second,56,56,0.3874195861678004,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,qwen3_8b,unintended_generalization,freeze_last,56,56,0.3392974206349206,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,qwen3_8b,unintended_generalization,kld,56,56,0.09903395691609977,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,qwen3_8b,unintended_generalization,ip,56,56,0.13112351190476193,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,qwen3_8b,capability,vanilla,20,20,0.24715000000000004,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,qwen3_8b,capability,baseline,20,20,0.72887,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,qwen3_8b,capability,freeze_first,20,20,0.74002,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,qwen3_8b,capability,freeze_second,20,20,0.7169399999999999,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,qwen3_8b,capability,freeze_last,20,20,0.6376799999999999,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,qwen3_8b,capability,kld,20,20,0.6522677777777777,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,qwen3_8b,capability,ip,20,20,0.28729666666666664,prompt_balanced_common_to_all_31
