variant,level,group,method_a,method_b,n_paired_runs,a_dominates,b_dominates,tradeoff,tie,delta_capability,delta_capability_ci_low,delta_capability_ci_high,delta_unwanted_generalization,delta_unwanted_generalization_ci_low,delta_unwanted_generalization_ci_high,a_macro_dominance_resampling_frequency
current_raw,dataset,target_only_no_hallucination,baseline,freeze_second,15,10,0,5,0,0.014134437621885265,0.0013563111690726767,0.026958391445839114,-0.13391063177756252,-0.14608093815480575,-0.12084210621357426,0.9859
current_raw,dataset,target_only_no_hallucination,baseline,freeze_last,15,0,9,6,0,-0.5351715877171207,-0.5521700353274313,-0.51683246652915,-0.011076218424373563,-0.025850232932749503,0.005155140855449111,0.0
current_raw,dataset,target_only_no_hallucination,baseline,kld,15,0,0,15,0,0.08414327072276859,0.07530567178056716,0.09298087721204874,0.15414611553560473,0.14407204331976506,0.16420737302557703,0.0
current_raw,dataset,target_only_no_hallucination,baseline,ip,15,1,3,11,0,0.11035665984410753,0.0897361692236169,0.1391666666666667,0.0779387095285653,0.06468153433972539,0.09244782220473372,0.0
current_raw,dataset,target_only_no_hallucination,freeze_first,freeze_second,15,0,0,15,0,-0.14371873547187358,-0.1538854021385402,-0.13194095769409575,-0.19109373473952718,-0.20295326097466265,-0.17965290870112524,0.0
current_raw,dataset,target_only_no_hallucination,freeze_first,freeze_last,15,0,5,10,0,-0.6930247608108795,-0.7096087114064594,-0.6759696625860945,-0.06825932138633822,-0.08160371688756017,-0.05586095227271514,0.0
current_raw,dataset,target_only_no_hallucination,freeze_first,kld,15,5,5,5,0,-0.07370990237099026,-0.08149520571827056,-0.06586238958623897,0.09696301257364007,0.08610960808360348,0.1074451557872377,0.0
current_raw,dataset,target_only_no_hallucination,freeze_first,ip,15,3,4,8,0,-0.04749651324965131,-0.06888191538819152,-0.018607624360762444,0.020755606566600637,0.006176357680414213,0.03495850766033485,0.0
current_raw,dataset,target_only_no_hallucination,freeze_second,freeze_last,15,0,12,3,0,-0.549306025339006,-0.5659805191253628,-0.5309363323781395,0.12283441335318895,0.11187185620212217,0.13375029277772246,0.0
current_raw,dataset,target_only_no_hallucination,freeze_second,kld,15,0,0,15,0,0.07000883310088332,0.06240655509065554,0.07827777777777775,0.2880567473131672,0.27725788101427407,0.29899681154859864,0.0
current_raw,dataset,target_only_no_hallucination,freeze_second,ip,15,0,1,14,0,0.09622222222222226,0.07983333333333333,0.11533472222222224,0.21184934130612781,0.19880125008016097,0.22520916517661269,0.0
current_raw,dataset,target_only_no_hallucination,freeze_last,kld,15,0,0,15,0,0.6193148584398893,0.6038457725837895,0.6334246615312793,0.1652223339599783,0.1553655567743451,0.17489800843125322,0.0
current_raw,dataset,target_only_no_hallucination,freeze_last,ip,15,0,0,15,0,0.6455282475612283,0.622643578909946,0.6714831830221629,0.08901492795293886,0.07770474927645069,0.10175503417990736,0.0
current_raw,dataset,target_only_no_hallucination,kld,ip,15,8,1,6,0,0.026213389121338943,0.011388888888888879,0.04975127847512785,-0.07620740600703943,-0.0878427574336226,-0.06370740600703945,1.0
current_raw,dataset,german_city_names,baseline,freeze_first,15,8,0,7,0,0.12229554717609104,0.09685502122894239,0.1478979707436081,-0.06118905940898417,-0.0937324868809831,-0.031244821763101824,1.0
current_raw,dataset,german_city_names,baseline,freeze_second,15,5,1,9,0,0.04237028398565146,0.02540572948177142,0.06080509406092774,0.013731481481481483,-0.016053388047138076,0.04214848484848484,0.1778
current_raw,dataset,german_city_names,baseline,freeze_last,15,0,11,4,0,-0.028122555490585288,-0.0478647624012602,-0.010463545837675876,0.11990629079914795,0.10459328016560158,0.13553625025767882,0.0
current_raw,dataset,german_city_names,baseline,kld,15,0,5,10,0,0.028777834140099934,0.009322851027280466,0.04612158572350599,0.12797390572390574,0.11341527777777778,0.14257929292929294,0.0
current_raw,dataset,german_city_names,baseline,ip,15,0,0,15,0,0.35031775399224363,0.3230556627659187,0.3788460064457734,0.1126271043771044,0.09940185185185185,0.12593265993265992,0.0
current_raw,dataset,german_city_names,freeze_first,freeze_second,15,1,4,10,0,-0.07992526319043958,-0.11080539596524945,-0.05147063931946444,0.07492054089046565,0.04141137204483066,0.11224235661303329,0.0
