variant,method,relative_sft_capability_floor,absolute_capability_floor,ug_improvement_required,n_cells,feasible_cells,feasible_and_improved_cells,mean_ug_reduction_on_feasible_cells
paper_filtered,freeze_first,0.95,0.1,0.01,21,10,2,-0.05654784082968047
paper_filtered,freeze_second,0.95,0.1,0.01,21,13,7,0.021347349519968552
paper_filtered,freeze_last,0.95,0.1,0.01,21,13,7,0.047614628537247565
paper_filtered,kld,0.95,0.1,0.01,21,9,9,0.27569394531100877
paper_filtered,ip,0.95,0.1,0.01,21,2,2,0.08875861935683364
paper_filtered,freeze_first,1.0,0.0,0.01,21,9,2,-0.01972842866261556
paper_filtered,freeze_second,1.0,0.0,0.01,21,9,3,-0.01910175212060135
paper_filtered,freeze_last,1.0,0.0,0.01,21,11,5,0.004145943562610221
paper_filtered,kld,1.0,0.0,0.01,21,5,5,0.10623986291486291
paper_filtered,ip,1.0,0.0,0.01,21,3,3,0.06676500549714837
paper_filtered,freeze_first,1.0,0.1,0.01,21,8,2,-0.020400500763961025
paper_filtered,freeze_second,1.0,0.1,0.01,21,7,3,0.003372152035417305
paper_filtered,freeze_last,1.0,0.1,0.01,21,11,5,0.004145943562610221
paper_filtered,kld,1.0,0.1,0.01,21,4,4,0.12571070827320827
paper_filtered,ip,1.0,0.1,0.01,21,2,2,0.08875861935683364
