variant,level,group,method,n_cells,n_runs,on_front,capability,capability_ci_low,capability_ci_high,unwanted_generalization,unwanted_generalization_ci_low,unwanted_generalization_ci_high,on_trained_front,trained_frontier_resampling_frequency,uncertainty,n_seeds,n_reference_evaluations
current_filtered,category,Alignment,freeze_first,9,45,True,0.785096974072802,0.7795453083781593,0.7902635505180197,0.386221831471521,0.37559846538507324,0.3953680140995839,True,1.0,training_seed_bootstrap,,
current_filtered,category,Alignment,freeze_second,9,45,True,0.7690350300504306,0.7625332335897627,0.7753463082766716,0.3485241920301687,0.33924605604377295,0.3568245580274292,True,0.9991,training_seed_bootstrap,,
current_filtered,category,Alignment,freeze_last,9,45,False,0.6636192195572623,0.6558727402893328,0.6712352526580552,0.21077462990827253,0.20467943060989757,0.21625892138021308,False,0.0,training_seed_bootstrap,,
current_filtered,category,Alignment,kld,9,45,True,0.7481006770529719,0.7376446209170534,0.7575729369368426,0.0776744758600175,0.07497694960389856,0.08055104758404084,True,1.0,training_seed_bootstrap,,
current_filtered,category,Alignment,ip,9,45,False,0.4947037572011739,0.48623853015031737,0.5027426425028041,0.1289465079882182,0.12538155128604692,0.13310751744042057,False,0.0,training_seed_bootstrap,,
current_filtered,category,Synthetic factual,baseline,6,30,True,0.12036556584383752,0.11580399906385673,0.12465770081963294,0.2588247124562744,0.24850577155573364,0.2687711335165509,True,1.0,training_seed_bootstrap,,
current_filtered,category,Synthetic factual,freeze_first,6,30,False,0.029680813353103186,0.02493341024085223,0.03445885067308997,0.24561930429471304,0.23853390372650168,0.2527150368379396,False,0.0,training_seed_bootstrap,,
current_filtered,category,Synthetic factual,freeze_second,6,30,False,0.11840464084689284,0.1131064088514392,0.12410040546655174,0.3012645917281643,0.2952682235543232,0.30703671675811745,False,0.0913,training_seed_bootstrap,,
current_filtered,category,Synthetic factual,freeze_last,6,30,True,0.5023993047482563,0.491987990317209,0.5123182352974008,0.29998349206999586,0.29364134175033296,0.3060616719518218,True,1.0,training_seed_bootstrap,,
current_filtered,category,Synthetic factual,kld,6,30,True,0.07311703281036194,0.07122724409746117,0.0752091937080294,0.1768411013244993,0.1732422728938483,0.18057927193693138,True,1.0,training_seed_bootstrap,,
current_filtered,category,Synthetic factual,ip,6,30,False,0.05726956877861696,0.04514148392190194,0.06478796629393979,0.21768406323253467,0.21043336493979084,0.22421056925996322,False,0.0,training_seed_bootstrap,,
current_filtered,category,Weird factual,baseline,6,30,False,0.8506819437807133,0.8304298401100078,0.868974178169464,0.10804987378297863,0.09456427522038874,0.12195721986443836,False,0.0518,training_seed_bootstrap,,
current_filtered,category,Weird factual,freeze_first,6,30,False,0.6685258043238737,0.6492292368422938,0.6885316468860337,0.2272852144294453,0.19036719814082673,0.2622534666383838,False,0.0,training_seed_bootstrap,,
current_filtered,category,Weird factual,freeze_second,6,30,False,0.759266285327032,0.730350151482856,0.7872515106424295,0.09419953778545213,0.08082473579705939,0.10913111063162173,False,0.0,training_seed_bootstrap,,
current_filtered,category,Weird factual,freeze_last,6,30,True,0.8680873845365694,0.8508116302583686,0.8851083649481095,0.0035642301115724278,0.0007675438596491229,0.007046030877855953,True,1.0,training_seed_bootstrap,,
current_filtered,category,Weird factual,kld,6,30,False,0.7931525889708846,0.7727607928460022,0.8106663685422744,0.006354609929078016,0.002709219858156028,0.010354609929078015,False,0.18,training_seed_bootstrap,,
current_filtered,category,Weird factual,ip,6,30,False,0.6300988873405698,0.603247845255001,0.6541482390928617,0.1516482227668491,0.11920734668075719,0.17824750440190204,False,0.0,training_seed_bootstrap,,
current_filtered,dataset,bad_medical_advice,baseline,3,15,False,0.7154885520309984,0.7085757313262585,0.7226369468005543,0.419516151542274,0.39908306183033915,0.436913871763144,False,0.4131,training_seed_bootstrap,,
current_filtered,dataset,bad_medical_advice,freeze_first,3,15,True,0.7260433829044558,0.716752051517674,0.7345059830926743,0.43620292714468606,0.41841941328394366,0.4509162384098364,True,0.8777,training_seed_bootstrap,,
