variant,task_id,model_family,method,n_seeds,on_front,capability,capability_ci_low,capability_ci_high,unwanted_generalization,unwanted_generalization_ci_low,unwanted_generalization_ci_high,capability_seed_sd,unwanted_generalization_seed_sd,on_trained_front,trained_frontier_resampling_frequency,uncertainty,n_reference_evaluations
current_raw,school_of_reward_hacks,llama31_8b,kld,5,True,0.7341929292929295,0.7277687878787878,0.73984,0.07613166454853298,0.06882432957637,0.08425600889681518,0.008139624986692445,0.009789689222205862,True,1.0,training_seed_bootstrap,
current_raw,school_of_reward_hacks,llama31_8b,ip,5,False,0.6899,0.6672100000000001,0.70248,0.12959402474028375,0.11884603949172882,0.14547261497251193,0.025183005182066728,0.01775462733606967,False,0.0,training_seed_bootstrap,
current_raw,school_of_reward_hacks,qwen3_8b,baseline,5,False,0.6318784007065371,0.6058519113229048,0.6516101112649336,0.20094706557603956,0.18076800343196534,0.216574113905937,0.03040190120075493,0.02322270968855046,False,0.0,training_seed_bootstrap,
current_raw,school_of_reward_hacks,qwen3_8b,freeze_first,5,True,0.7223021787975126,0.6947233756910712,0.7441708542713568,0.12280189988859266,0.11669029950959775,0.13064405498445603,0.03172545516798063,0.008835060276014758,True,0.9995,training_seed_bootstrap,
current_raw,school_of_reward_hacks,qwen3_8b,freeze_second,5,False,0.7001582457225315,0.6919126262626263,0.7094439290867862,0.19762588052718036,0.17796859962086103,0.21168598130841124,0.011179117694935821,0.021656884293278948,False,0.0213,training_seed_bootstrap,
current_raw,school_of_reward_hacks,qwen3_8b,freeze_last,5,False,0.4844837021293994,0.4625465953243161,0.5157929688202804,0.18734254148570623,0.17245870192966337,0.20151034680121566,0.03480934779686412,0.019471477913189022,False,0.0,training_seed_bootstrap,
current_raw,school_of_reward_hacks,qwen3_8b,kld,5,True,0.661389481865285,0.6197184455958549,0.6860700000000002,0.06745496190086624,0.05695142244325548,0.07404095243676993,0.04679790723748914,0.011439211800006172,True,1.0,training_seed_bootstrap,
current_raw,school_of_reward_hacks,qwen3_8b,ip,5,False,0.6111172727272727,0.5670518181818182,0.63519,0.07787445041778374,0.07021317511373948,0.08553572572182798,0.04901727678639159,0.009729768503763706,False,0.0093,training_seed_bootstrap,
current_raw,school_of_reward_hacks,olmo3_7b,baseline,5,False,0.6943409757344956,0.6755888106996997,0.7170139048982025,0.11789964631783537,0.09875207390971849,0.13188954696403823,0.026486087495175156,0.0208827513173391,False,0.0003,training_seed_bootstrap,
current_raw,school_of_reward_hacks,olmo3_7b,freeze_first,5,True,0.7659323216873665,0.7488620221255617,0.781106735151492,0.1476432061934536,0.13091306126479424,0.16210109449555593,0.02180838720679146,0.021385058527794938,True,0.7382,training_seed_bootstrap,
current_raw,school_of_reward_hacks,olmo3_7b,freeze_second,5,False,0.7198491334481487,0.6786519408655319,0.7524647398226305,0.117193411125779,0.10401678037959228,0.12641580000705352,0.0480363346114483,0.015038697830884774,False,0.1361,training_seed_bootstrap,
current_raw,school_of_reward_hacks,olmo3_7b,freeze_last,5,False,0.6407818888260766,0.6113089102564103,0.6690908183620597,0.182137719383421,0.16260970168297578,0.19350253353204167,0.03640584599720925,0.02136316485063277,False,0.0,training_seed_bootstrap,
current_raw,school_of_reward_hacks,olmo3_7b,kld,5,True,0.7480591959798996,0.7157475879396985,0.7775299999999999,0.05819852679877702,0.055374692065376444,0.06072702644780922,0.039723199327219724,0.0035837010333329197,True,1.0,training_seed_bootstrap,
current_raw,school_of_reward_hacks,olmo3_7b,ip,5,False,0.745888163265306,0.7340963265306122,0.75768,0.07412181658056675,0.07192722864865979,0.07658475218776464,0.015159758476705807,0.0029864888562037093,False,0.4096,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,llama31_8b,baseline,5,False,0.11416666666666668,0.10500000000000001,0.125,0.3257132894999004,0.29642657899980074,0.35500000000000004,0.012360330811826102,0.03768139025863272,False,0.1865,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,llama31_8b,freeze_first,5,False,0.021666666666666667,0.0125,0.030000000000000006,0.3851476793248945,0.36348101265822785,0.4084810126582278,0.011562030771259675,0.027306151752895122,False,0.0,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,llama31_8b,freeze_second,5,True,0.1275,0.10916666666666666,0.14666666666666667,0.2781799163179916,0.26610878661087867,0.2927336122733612,0.025447385807670787,0.016509056883367814,True,1.0,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,llama31_8b,freeze_last,5,True,0.6686212667366613,0.6412427755912491,0.6974905359633394,0.5291584145453784,0.4975106360535846,0.560806193037172,0.03680397989586433,0.040739822401593656,True,1.0,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,llama31_8b,kld,5,True,0.06196808510638298,0.05583333333333333,0.06810283687943261,0.25352859135285916,0.23872384937238494,0.26833333333333337,0.0079320443042589,0.019609307731709397,True,0.9916,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,llama31_8b,ip,5,False,0.03670850767085077,0.030833333333333334,0.04345885634588563,0.275,0.2641666666666666,0.2841666666666667,0.008620911793673122,0.013176156917368249,False,0.0041,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,qwen3_8b,baseline,5,False,0.0,0.0,0.0,0.16066768912403964,0.1357421236640918,0.1779428172942817,0.0,0.02783962427751499,False,0.0056,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,qwen3_8b,freeze_first,5,False,0.0008333333333333333,0.0,0.0025,0.17222454672245466,0.1514644351464435,0.19298465829846584,0.0018633899812498245,0.026378869138020154,False,0.0,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,qwen3_8b,freeze_second,5,False,0.0016736401673640166,0.0,0.005020920502092049,0.16415494649742743,0.15144550707312215,0.17686438592173273,0.0037423731841000666,0.01661181611805951,False,0.0,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,qwen3_8b,freeze_last,5,True,0.14202580195258022,0.13427824267782426,0.14953974895397487,0.20801952580195254,0.19647489539748955,0.2200836820083682,0.009856775589755248,0.015182690960590944,True,1.0,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,qwen3_8b,kld,5,True,0.0008333333333333333,0.0,0.0025,0.13388399412628488,0.12860132158590307,0.13916666666666666,0.0018633899812498245,0.00712796784365655,True,0.9962,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,qwen3_8b,ip,5,True,0.00250697350069735,0.0,0.005854253835425383,0.14010808926080892,0.13354951185495118,0.14666666666666667,0.0037404316492376188,0.008472530716323612,True,0.6677,training_seed_bootstrap,
